003238a.dat	Sticker Minifig Shield Triangular with Crown on Dark Pink Background
003238b.dat	Sticker Minifig Shield Triangular with Green and Yellow Chevrons on Dark Grey Background
003238c.dat	Sticker Minifig Shield Triangular with White Maltese Cross on Red Background
003238d.dat	Sticker Minifig Shield Triangular with Yellow Trefoils on Blue Background
003238e.dat	Sticker Minifig Vest with Crown on Dark Pink Background
003238f.dat	Sticker Minifig Vest with Shield with Green and Yellow Chevrons on Dark Grey Background
003238g.dat	Sticker Minifig Vest with Shield with White Maltese Cross on Dark Grey Background
003238h.dat	Sticker Minifig Vest with Yellow Trefoils on Blue Background
003238i.dat	Sticker Flag with Crown on Dark Pink Background
003238j.dat	Sticker  1.0 x  5.8 with Dark Pink Banner
003238k.dat	Sticker Minifig Shield Triangular with Crown on Violet Background
003238l.dat	Sticker Minifig Shield Triangular with Green and Yellow Chevrons on Light Grey Background
003238m.dat	Sticker Minifig Shield Triangular with Yellow Trefoils on Dark Blue Background
003238n.dat	Sticker Minifig Vest with Crown on Violet Background
003238o.dat	Sticker Minifig Vest with Shield with Green Chevrons on Light Grey Background
003238p.dat	Sticker Minifig Vest with Shield with White Maltese Cross on Light Grey Background
003238q.dat	Sticker Minifig Vest with Yellow Trefoils on Dark Blue Background
003238r.dat	Sticker Flag with Crown on Violet Background
003238s.dat	Sticker  1.0 x  5.8 with Violet Banner
003381a.dat	Sticker  1.1 x  5.9 with White "HOVERCRAFT" on Red Background
003428a.dat	Sticker  1.1 x  5.9 with Blue "Chocomel"
003428b.dat	Sticker Minifig Torso with Shirt with Five Buttons
003428c.dat	Sticker Minifig Torso with Black Suit without Buttons and Red Tie
003428d.dat	Sticker  1.4 x  2 Oval with Black "16" and Small Hearts
003432a.dat	Sticker  2.4 x  3 with Norway Flag
003432b.dat	Sticker  2.4 x  3 with Finland Flag
003432c.dat	Sticker  2.4 x  3 with Denmark Flag
003432d.dat	Sticker  2.4 x  3 with Sweden Flag
003432e.dat	Sticker  2.4 x  3 with Iceland Flag
003432f.dat	Sticker  2.4 x  3.0 with Lego Logo with Closed "O"
003435c.dat	Sticker  0.6 x  0.6 Round with Black Background
003437a.dat	Sticker  2.3 x  2.4 with White "181" and Winged Wheel Logo on Black
003437b.dat	=Sticker  2.6 x  5.5 with Black "International TRANSPORT" on Yellow
003439a.dat	Sticker  1.6 x  2.7 with White "171" on Black
003440a.dat	Sticker  2.6 x  5.5 "International TRANSPORT"
003441a.dat	Sticker  2.2 x  2.1 with Red German Railways Logo and "724" on Yellow Background
003497a.dat	Sticker  2.3 x  5.9 with "POST OFFICE"
003497b.dat	Sticker  2.6 x  6 with White and Red Stripes
003497bc01.dat	Sticker  2.6 x  6 with White and Red Stripes (Formed)
003497c.dat	Sticker  1.1 x  3.9 with "ICES"
003497d.dat	Sticker  1.9 x  1.9 Round with Roadsign Black Diagonal Bar
003497e.dat	Sticker  1.9 x  1.9 Round with Roadsign Black "30" and Red Circle
003497f.dat	Sticker  1.1 x  2.9 with White "TAXI"
003497g.dat	Sticker Minifig Torso with Black Suit with Two Buttons and Red Tie
003497h.dat	Sticker Minifig Torso with Red Shirt with Four Buttons and Patch Pockets
003497i.dat	Sticker Minifig Torso with Buttons and Collar
003497j.dat	Sticker Minifig Torso with Police Badge and Four Buttons
003497k.dat	Sticker Minifig Torso with Town Vest with Pockets and White Shirt Collar
003566a.dat	Sticker  1.1 x  5.9 with "TEXAS"
003566b.dat	Sticker  1.1 x  7.9 with "RANGERS"
003566c.dat	=Sticker  2.4 x  3 with United States Flag
003566d.dat	=Sticker  2.4 x  3 with United States Flag (Mirrored)
003605a.dat	Sticker  1.1 x  8 with "OIL COMPANY" Sign on Red Background
003605b.dat	Sticker  1.2 x  5.3 with "Shell" sign on White Background
003605c.dat	Sticker  2.2 x  1.9 with Shell Logo 1971
003605d.dat	Sticker  1.3 x  1.3 with Shell Logo 1971
003605e.dat	=Sticker  0.9 x  0.9 Round with Lifepreserver Pattern
003667a.dat	Sticker  0.8 x  2.8 with Black "RALLYE" on White Background
003667b.dat	Sticker  0.9 x  3.9 with Black "RALLYE" on White and Blue Background
003667c.dat	Sticker  1.0 x  1.3 with Shell Logo 1971
003667d.dat	Sticker  1.0 x  1.0 Round with White "78" on Black Background
003672a.dat	Sticker  1.7 x  1.7 with White "TV2" on Blue Background
003672b.dat	Sticker  1 x  1 with White "TV2" on Blue Background
003673a.dat	Sticker  0.8 x  3.0 with Black "SAFARI" Sign on Yellow Background
003673b.dat	Sticker  0.9 x  0.9 Round with White Disc and Black Circle
003829a.dat	Sticker  1 x  4.8 with Black "TRANSPORT" on Yellow Background
004113a.dat	=Sticker  1.6 x  1.3 with  5 Yellow/Black Chevrons Upwards
004113b.dat	Sticker  1.1 x  1.9 with Danger Stripes Chevron
004113bc01.dat	Sticker  1.1 x  1.9 with Danger Stripes Chevron (Formed)
004158a.dat	Sticker  2.4 x  3 with Germany Flag
004158b.dat	Sticker  2.4 x  3 with The Netherlands Flag
004158c.dat	Sticker  2.4 x  3 with United Kingdom Flag
004158d.dat	Sticker  2.4 x  3 with Austria Flag
004158e.dat	Sticker  2.4 x  3 with Switzerland Flag
004158f.dat	Sticker  2.4 x  3 with Italy Flag
004159a.dat	Sticker  2.4 x  3 with Portugal Flag
004159b.dat	Sticker  2.4 x  3 with Belgium Flag
004159c.dat	Sticker  2.4 x  3 with France Flag
004159d.dat	Sticker  2.4 x  3 with Japan Flag
004159e.dat	Sticker  2.4 x  3 with United States Flag
004159f.dat	=Sticker  2.4 x  3.0 with Lego Logo with Closed "O"
004159h.dat	Sticker  2.4 x  3 with United States Flag (Mirrored)
004219a.dat	Sticker  2.4 x  3 with Ireland Flag
004219b.dat	Sticker  2.4 x  3 with Australia Flag
004219c.dat	Sticker  2.4 x  3 with Canada Flag
004239a.dat	Sticker  3.5 x 14 "USS Constellation" on Scroll
004283a.dat	Sticker  2.3 x  3.9 with Red Pretzel on Yellow Background
004283b.dat	Sticker  1.9 x  1.9 with Yellow Pretzel on Blue Background
004283c.dat	Sticker  2.6 x 10 with White/Red Stripes
004283cc01.dat	Sticker  2.6 x 10 with White/Red Stripes (Formed)
004315a.dat	Sticker Minifig Torso with Yellow Buttons and Grey Belt
004315b.dat	Sticker  1.2 x  1 with White "1" on Red
004315c.dat	Sticker  1.1 x  2.9 with Fire Logo and "FIRE CHIEF" - Logo Left
004315d.dat	Sticker  1.1 x  2.9 with Fire Logo and "FIRE CHIEF" - Logo Right
004318a.dat	=Sticker Minifig Torso with Shell Logo 1971
004318b.dat	Sticker  1.1 x  1.25 with Shell Logo 1971
004324a.dat	=Sticker Minifig Torso with White Buttons and Police Badge Plain
004324b.dat	Sticker  0.7 x  2.9 with Thin Black "POLICE"
004363a.dat	Sticker Minifig Torso with Red Cross Logo
004363b.dat	=Sticker  0.8 x  0.8 with Red Cross Logo
004382a.dat	Sticker  3.1 x  3.1 Round with Black "9" on White
004401a.dat	=Sticker  1.1 x  1.25 with Shell Logo 1971
004402a.dat	Sticker  1.1 x  0.9 with Black and Yellow Danger Stripes Left Up
004402b.dat	Sticker  1.1 x  0.9 with Black and Yellow Danger Stripes Right Up
004402c.dat	Sticker  1.1 x  3.9 with Danger Stripes Zigzag
004402cc01.dat	Sticker  1.1 x  3.9 with Danger Stripes Zigzag (Formed)
004416a.dat	Sticker  1.3 x  5.9 with "Shell" and Shell Logo 1971 - Logo Left
004416b.dat	Sticker  1.3 x  5.9 with "Shell" and Shell Logo 1971 - Logo Right
